MatrixType,MatrixSize,Sparsity,Optimization,NumThreads,Time(s),Instructions,Cycles,CacheMisses
dense-dense,10,NA,Native,1,0.047,1827506,1548673,11875
dense-dense,10,NA,Multi-threading,8,0.030,1827506,1539434,8674
dense-dense,10,NA,SIMD,1,0.028,1827507,1510632,11227
dense-dense,10,NA,Cache,1,0.025,1827505,1424435,9116
dense-dense,10,NA,All,8,0.020,1827508,1312287,9252
dense-dense,100,NA,Native,1,0.020,1828132,1477200,9754
dense-dense,100,NA,Multi-threading,8,0.014,1828133,1405240,10549
dense-dense,100,NA,SIMD,1,0.013,1828138,1384067,10238
dense-dense,100,NA,Cache,1,0.012,1828133,1432851,8443
dense-dense,100,NA,All,8,0.010,1828135,1318186,8047
dense-dense,1000,NA,Native,1,0.016,1828766,1436536,9467
dense-dense,1000,NA,Multi-threading,8,0.010,1828787,1422771,9196
dense-dense,1000,NA,SIMD,1,0.008,1828765,1423188,8819
dense-dense,1000,NA,Cache,1,0.007,1828764,1293660,6644
dense-dense,1000,NA,All,8,0.005,1828760,1257392,5079
dense-dense,5000,NA,Native,1,0.019,1828760,1313242,8652
dense-dense,5000,NA,Multi-threading,8,0.015,1828764,1425982,8650
dense-dense,5000,NA,SIMD,1,0.013,1828761,1257328,7801
dense-dense,5000,NA,Cache,1,0.010,1828762,1186179,6224
dense-dense,5000,NA,All,8,0.008,1828765,1129060,4484
dense-dense,10000,NA,Native,1,0.028,1829392,2384061,11910
dense-dense,10000,NA,Multi-threading,8,0.020,1829393,1539434,10635
dense-dense,10000,NA,SIMD,1,0.015,1829389,1478192,8343
dense-dense,10000,NA,Cache,1,0.012,1829394,1340645,6154
dense-dense,10000,NA,All,8,0.009,1829391,1291261,4526
dense-sparse,10,99,Native,1,0.017,1828919,1645237,11425
dense-sparse,10,99,Multi-threading,8,0.015,1828922,1329891,9637
dense-sparse,10,99,SIMD,1,0.012,1828922,1427163,8074
dense-sparse,10,99,Cache,1,0.010,1828922,1294518,6059
dense-sparse,10,99,All,8,0.008,1828918,1189421,4800
dense-sparse,100,99,Native,1,0.017,1829547,1556354,11283
dense-sparse,100,99,Multi-threading,8,0.013,1829548,1418820,8361
dense-sparse,100,99,SIMD,1,0.011,1829548,1287689,6342
dense-sparse,100,99,Cache,1,0.009,1829577,1175330,4044
dense-sparse,100,99,All,8,0.006,1829546,1132141,3065
dense-sparse,1000,99.99,Native,1,0.015,1831517,1475915,10250
dense-sparse,1000,99.99,Multi-threading,8,0.012,1831515,1329634,8034
dense-sparse,1000,99.99,SIMD,1,0.010,1831520,1305337,6036
dense-sparse,1000,99.99,Cache,1,0.008,1831519,1252561,4056
dense-sparse,1000,99.99,All,8,0.005,1831520,1198771,3002
sparse-sparse,1000,99,Native,1,0.020,1830330,1777822,12974
sparse-sparse,1000,99,Multi-threading,8,0.015,1830334,1650224,10377
sparse-sparse,1000,99,SIMD,1,0.012,1830334,1433000,7758
sparse-sparse,1000,99,Cache,1,0.009,1830335,1238317,5471
sparse-sparse,1000,99,All,8,0.006,1830335,1139697,4971
sparse-sparse,10000,99.99,Native,1,0.026,1831362,1435188,12334
sparse-sparse,10000,99.99,Multi-threading,8,0.020,1831364,1379661,10669
sparse-sparse,10000,99.99,SIMD,1,0.015,1831363,1280383,6628
sparse-sparse,10000,99.99,Cache,1,0.010,1831363,1191296,5592
sparse-sparse,10000,99.99,All,8,0.007,1831364,1130349,3568
